agency_name,phone,email,city,country
"BUENOS AIRES Inmobiliaria","541153734000","buenosairesinmobiliaria@yahoo.com.ar","Buenos Aires","Argentina"
"at buenos aires","541143449600","info@atbuenosaires.com","Buenos Aires","Argentina"
"Hamra Propiedades","541149639333","hamrapropiedades@gmail.com","Buenos Aires","Argentina"
"NISA PROPIEDADES","541156841414","nisapropiedades@gmail.com","Buenos Aires","Argentina"
"Rincones de Buenos Aires","541121530253","info@rinconesbuenosaires.com.ar","Buenos Aires","Argentina"
"RBA Inmobiliaria","541148142224","info@realtyba.com.ar","Buenos Aires","Argentina"
"GRUPO TGR","541152371107","info@tgrprop.com.ar","Buenos Aires","Argentina"
"Inmobiliaria Riestra","541149180455","correo@inmobiliariariestra.com.ar","Buenos Aires","Argentina"
"Somoza Propiedades","541149520946","somozaprop@gmail.com","Buenos Aires","Argentina"
"M&M PROPIEDADES","541125297649","info@mympropiedades.com.ar","Buenos Aires","Argentina"
"Inmobiliaria Gana Propiedades","541152675674","info@ganapropiedades.com.ar","Buenos Aires","Argentina"
"Grupo AM Real Estate","5493415588888","info@grupo-am.com.ar","Buenos Aires","Argentina"
"Puebla Inmobiliaria/ Puerto Madero","541170780012","info@pueblainmobiliaria.com.ar","Buenos Aires","Argentina"
"INMOBILIARIA BIANCHI","5493414487156","contacto@inmueblesbianchi.com.ar","Buenos Aires","Argentina"
"Inmobiliaria Escala Propiedades","5493413724336","contacto@escalapropiedades.com.ar","Buenos Aires","Argentina"
"GRUPO YOUNG PROPIEDADES - SAN NICOLÁS","541168626050","info@grupo-young.com.ar","Buenos Aires","Argentina"
"Maxim Propiedades","541125653312","info@maximpropiedades.com.ar","Buenos Aires","Argentina"
"Beleni Propiedades","541169012011","inmobiliariabeleni@gmail.com","Buenos Aires","Argentina"
"Lino Propiedades","541143061337","linoprop@yahoo.com.ar","Buenos Aires","Argentina"
"MONTAÑA INMOBILIARIA SA","541148275033","caballito@montanainmobiliaria.com","Buenos Aires","Argentina"
"Tripputi Propiedades","541147192364","info@trippropiedades.com.ar","Buenos Aires","Argentina"
"Lounge Propiedades","541153531299","info@loungepropiedades.com.ar","Buenos Aires","Argentina"
"Sanfelippo Propiedades - Puerto Madero - Inmobiliaria","541152528009","info@sanfelippopropiedades.com.ar","Buenos Aires","Argentina"
"FRANCIONE NEGOCIOS INMOBILIARIOS","541144441000","micah@micahrich.com","Buenos Aires","Argentina"
"MARTIN VIQUEIRA PROPIEDADES","541526373862","martin@martinviqueira.com.ar","Buenos Aires","Argentina"
"Dirot Propiedades","541143141899","info@dirotpropiedades.com.ar","Buenos Aires","Argentina"
"Pardo Propiedades Inmobiliaria Barrio Norte - Recoleta","541534211003","pardopropiedades.caba@gmail.com","Buenos Aires","Argentina"
"San Pedro Telmo Inmobiliaria","541151991810","info@sptinmobiliaria.com.ar","Buenos Aires","Argentina"
"Guimat Propiedades","541148211010","info@guimat.com","Buenos Aires","Argentina"
"Adriana Massa International Realty","541579043417","oficina@adrianamassair.com","Buenos Aires","Argentina"
"UBICARTE","541136637902","info@ubicarte.com.ar","Buenos Aires","Argentina"
"Sebastian Dbsie Propiedades","541158209967","sdpropiedades@gmail.com","Buenos Aires","Argentina"
"Caffaratti Inmobiliaria","5493515698000","info@rcaffaratti.com","Córdoba","Argentina"
"Bergo Servicios Inmobiliarios","5493513486898","inmobergo@gmail.com","Córdoba","Argentina"
"Taiana Propiedades Inmobiliaria en Córdoba","5493514225827","info@taianapropiedades.com","Córdoba","Argentina"
"Propuestas Inmobiliarias S.A","5493516512008","jgomez@propuestas-inmobiliarias.com","Córdoba","Argentina"
"López Baena Propiedades","5493513962652","maximilianol@lopezbaena.com.ar","Córdoba","Argentina"
"Portugal Inmobiliaria","5493517633299","inmobiliariaportugal@gmail.com","Córdoba","Argentina"
"Aldo Peppino - Servicios Inmobiliarios","5493514290055","info@aldopeppino.com.ar","Córdoba","Argentina"
"ESTRATEGIA Inmobiliaria","541156837701","agustin@estrategia.biz","Córdoba","Argentina"
"Audisio Inmobiliaria Córdoba","5493517892739","info@jorgeaudisio.com","Córdoba","Argentina"
"Porcel de Peralta Inmobiliaria","5493514600180","info@porceldeperalta.com","Córdoba","Argentina"
"DEL VALLE agrimensura urbana","5493547625712","oficina@delvalle.ar","Córdoba","Argentina"
"Red Inmobiliaria","5493512989229","redinmobiliarianqn@gmail.com","Córdoba","Argentina"
"Cattaneo Inmobiliaria","5493512320205","info@cattaneoinmobiliaria.com.ar","Córdoba","Argentina"
"Bordon Propiedades","5493517727473","bordonpropiedades@gmail.com","Córdoba","Argentina"
"Lugar - alquilá, vendé, viví","541155213517","info@lugarcba.com","Córdoba","Argentina"
"Facundo zarate Inmobiliaria","5493516788810","zarateserviciosinmobiliarios@gmail.com","Córdoba","Argentina"
"María José Crespo - Inmobiliaria","5493513563314","ivan.radulovich@gmail.com","Córdoba","Argentina"
"Radici Operaciones Inmobiliarias","541158062490","info@radici.com.ar","Córdoba","Argentina"
"Meade Inmobiliaria","5493514244444","info@meade.com.ar","Córdoba","Argentina"
"Mariano Manchento Bienes Inmuebles","5493518358080","info@marianomanchento.com.ar","Córdoba","Argentina"
"Inmobiliaria Daniel Nievas","5493518068080","nievasnegociosinmobiliarios@gmail.com","Córdoba","Argentina"
"Passadore & Asociados Inmobiliaria","5493514460806","dardopassadore@gmail.com","Córdoba","Argentina"
"Bassini Negocios Inmobiliarios","5493415507167","contacto@bassiniinmobiliaria.com","Rosario","Argentina"
